# Equilibrium potential distribution
# Position(um) Potential(V)
# LWIR
7.975201 1.7461075395e-02
8.094383 1.7461075395e-02
8.210792 1.7461075395e-02
8.324495 1.7461075395e-02
8.435553 1.7461075395e-02
8.544029 1.7461075395e-02
8.649981 1.7461075395e-02
8.753470 1.7461075395e-02
8.854552 1.7461075395e-02
8.900000 1.7461076164e-02
9.000000 3.8097778419e-02
# Barrier
9.000000 3.8097778419e-02
9.050000 1.0710255559e-01
9.101205 1.0710255597e-01
9.153643 1.0710255597e-01
9.207346 1.0710255597e-01
9.262342 1.0710255597e-01
9.318664 1.0710255597e-01
9.376342 1.0710255597e-01
9.435411 1.0710255597e-01
9.495902 1.0710255597e-01
9.557852 1.0710255597e-01
9.621294 1.0710255597e-01
9.686265 1.0710255597e-01
9.752802 1.0710255597e-01
9.820941 1.0710255597e-01
9.890723 1.0710255597e-01
9.962186 1.0710255597e-01
10.035372 1.0710255597e-01
10.110320 1.0710255597e-01
10.187075 1.0710255597e-01
10.265679 1.0710255597e-01
10.346177 1.0710255597e-01
10.428615 1.0710255597e-01
10.513040 1.0710255597e-01
10.599499 1.0710255597e-01
10.688041 1.0710255597e-01
10.778717 1.0710255597e-01
10.871577 1.0710255597e-01
10.966675 1.0710255597e-01
11.064065 1.0710255597e-01
11.163802 1.0710255597e-01
11.175000 1.0710255597e-01
11.275000 1.0710255597e-01
11.375000 1.0710255597e-01
11.475000 1.0710255597e-01
11.575000 1.0710255597e-01
11.675000 1.0710255597e-01
11.775000 1.0710255597e-01
11.875000 1.0710255597e-01
11.975000 1.0710255597e-01
12.075000 1.0710255597e-01
12.175000 1.0710255597e-01
12.275000 1.0710255597e-01
12.375000 1.0710255597e-01
12.475000 1.0710255597e-01
12.575000 1.0710255597e-01
12.675000 1.0710255597e-01
12.775000 1.0710255597e-01
12.875000 1.0710255597e-01
12.975000 1.0710255597e-01
13.075000 1.0710255597e-01
13.175000 1.0710255597e-01
13.250000 1.0710255584e-01
13.350000 2.5917082257e-02
# VLWIR
13.350000 2.5917082257e-02
13.400000 3.9978188529e-03
13.451103 3.9978183339e-03
13.503333 3.9978183339e-03
13.556716 3.9978183339e-03
13.611275 3.9978183339e-03
13.667039 3.9978183339e-03
13.724032 3.9978183339e-03
13.782283 3.9978183339e-03
13.841819 3.9978183339e-03
13.902668 3.9978183339e-03
13.964859 3.9978183339e-03
14.028422 3.9978183339e-03
14.093387 3.9978183339e-03
14.159785 3.9978183339e-03
14.227648 3.9978183339e-03
14.297008 3.9978183339e-03
14.367898 3.9978183339e-03
14.440352 3.9978183339e-03
14.514404 3.9978183339e-03
14.590089 3.9978183339e-03
14.667444 3.9978183339e-03
14.746505 3.9978183339e-03
14.827310 3.9978183339e-03
14.909898 3.9978183339e-03
14.994308 3.9978183339e-03
15.080579 3.9978183339e-03
15.168754 3.9978183339e-03
15.258873 3.9978183339e-03
15.350981 3.9978183339e-03
15.445120 3.9978183339e-03
15.541336 3.9978183339e-03
15.639674 3.9978183339e-03
15.740182 3.9978183339e-03
15.842906 3.9978183339e-03
15.947897 3.9978183339e-03
16.055203 3.9978183339e-03
16.164877 3.9978183339e-03
16.276970 3.9978183339e-03
16.391535 3.9978183339e-03
16.508628 3.9978183339e-03
16.628304 3.9978183339e-03
16.750619 3.9978183339e-03
16.875633 3.9978183339e-03
17.003404 3.9978183339e-03
17.133994 3.9978183339e-03
17.267464 3.9978183339e-03
17.403879 3.9978183339e-03
17.543303 3.9978183339e-03
17.685802 3.9978183339e-03
17.831445 3.9978183339e-03
17.980300 3.9978183339e-03
18.132439 3.9978183339e-03
18.287934 3.9978183339e-03
18.446859 3.9978183339e-03
18.609290 3.9978183339e-03
18.775304 3.9978183339e-03
18.944980 3.9978183339e-03
19.118398 3.9978183339e-03
19.295642 3.9978183339e-03
19.476796 3.9978183339e-03
19.661946 3.9978183339e-03
19.851180 3.9978183339e-03
20.044589 3.9978183339e-03
20.242263 3.9978183339e-03
20.350000 3.9978183339e-03
20.550000 3.9978183339e-03
20.747059 3.9978183339e-03
20.941220 3.9978183339e-03
21.132525 3.9978183339e-03
21.321018 3.9978183339e-03
21.506738 3.9978183339e-03
21.689727 3.9978183339e-03
21.870025 3.9978183339e-03
22.047672 3.9978183339e-03
22.222706 3.9978183339e-03
22.395166 3.9978183339e-03
22.565090 3.9978183339e-03
22.732515 3.9978183339e-03
22.897479 3.9978183339e-03
23.060016 3.9978183339e-03
23.220162 3.9978183339e-03
23.377954 3.9978183339e-03
23.533425 3.9978183339e-03
23.686610 3.9978183339e-03
23.837543 3.9978183339e-03
23.986255 3.9978183339e-03
24.132781 3.9978183339e-03
24.277152 3.9978183339e-03
24.419399 3.9978183339e-03
24.559555 3.9978183339e-03
24.697650 3.9978183339e-03
24.833714 3.9978183339e-03
24.967777 3.9978183339e-03
25.099869 3.9978183339e-03
25.230018 3.9978183339e-03
25.358253 3.9978183339e-03
25.484602 3.9978183339e-03
25.609093 3.9978183339e-03
25.731753 3.9978183339e-03
25.852610 3.9978183339e-03
25.971689 3.9978183339e-03
26.089017 3.9978183339e-03
26.204620 3.9978183339e-03
26.318523 3.9978183339e-03
26.430750 3.9978183339e-03
26.541327 3.9978183339e-03
26.650279 3.9978183339e-03
26.757627 3.9978183339e-03
26.863398 3.9978183339e-03
26.967612 3.9978183339e-03
27.070294 3.9978183339e-03
27.171467 3.9978183339e-03
27.250000 3.9978183094e-03
27.350000 3.3796488524e-04
